identifier,type,currentTag,nfcSerial,locationName,status,keyCount,fobCount,keyDescription,address,notes
A24-075,Night Shift,,,Van 2,Present,1,2,,"18 Woodside Crescent, Glasgow, G3 7UL",
A24-076,Day Shift,,,Van 1,Present,2,2,,"19 Woodside Crescent, Glasgow, G3 7UL",
A24-076,Night Shift,,,Van 2,Present,2,2,,"19 Woodside Crescent, Glasgow, G3 7UL",
A24-077,Day Shift,,,Van 1,Present,2,0,,"Flat 1, 12 Kingsborough Gardens, Glasgow, G12 9QB",
A24-077,Night Shift,,,Van 2,Present,2,0,,"Flat 1, 12 Kingsborough Gardens, Glasgow, G12 9QB",
A24-078,Day Shift,,,Van 1,Present,4,1,,"302 St Vincent St, Glasgow G2 5RU",
A24-078,Night Shift,,,Van 2,Present,4,1,,"302 St Vincent St, Glasgow G2 5RU",
A24-080,Day Shift,,,Van 1,Present,7,1,,"Voidoid Ltd, Unit 1, 54 Helen Street, Glasgow, G51 3HQ",
A24-080,Night Shift,,,Van 2,Present,7,1,,"Voidoid Ltd, Unit 1, 54 Helen Street, Glasgow, G51 3HQ",
A24-082,Day Shift,,,Van 1,Present,1,1,,"Gavin's Mill Shop, 3 Gavin's Mill Rd, Milngavie, Glasgow G62 6NB",
A24-082,Night Shift,,,Van 2,Present,1,1,,"Gavin's Mill Shop, 3 Gavin's Mill Rd, Milngavie, Glasgow G62 6NB",
A24-085,Day Shift,,,Van 1,Present,1,0,,"Reprocell, Thomson Pavilion, Todd Campus, Glasgow, G20 0XA",
A24-085,Night Shift,,,Van 2,Present,1,0,,"Reprocell, Thomson Pavilion, Todd Campus, Glasgow, G20 0XA",
A24-088,Day Shift,,,Van 1,Present,4,0,,"Northcote Surgery, 2 Victoria Gardens, Glasgow, G12 9LD",
A24-088,Night Shift,,,Van 2,Present,4,0,,"Northcote Surgery, 2 Victoria Gardens, Glasgow, G12 9LD",
A24-091,Day Shift,,,Van 1,Present,2,1,,"Telford Pavilion, Todd Campus, Glasgow, G20 0X",
A24-091,Night Shift,,,Van 2,Present,3,2,,"Telford Pavilion, Todd Campus, Glasgow, G20 0X",
A24-091,Lock Up,,,Van 2,Present,2,1,,"Telford Pavilion, Todd Campus, Glasgow, G20 0X",
A24-092,Day Shift,,,Van 1,Present,1,1,,"Nevis Capital, 4th Floor, 221 West George Street, Glasgow, G2 2ND",
A24-092,Night Shift,,,Van 2,Present,1,2,,"Nevis Capital, 4th Floor, 221 West George Street, Glasgow, G2 2ND",
A24-093,Day Shift,,,Van 1,Present,2,0,,"189 Westland Drive, Glasgow, G14 9JQ",
A24-093,Night Shift,,,Van 2,Present,2,0,,"189 Westland Drive, Glasgow, G14 9JQ",
A24-097,Day Shift,,,Van 1,Present,3,0,,"68 Hamilton Drive, Glasgow, G12 8EE",
A24-097,Night Shift,,,Van 2,Present,3,0,,"68 Hamilton Drive, Glasgow, G12 8EE",
A24-103,Day Shift,,,Van 1,Present,1,0,,"OFGEM, 32 Albion Street, Glasgow, G1 1LH",
A24-103,Night Shift,,,Van 2,Present,1,1,,"OFGEM, 32 Albion Street, Glasgow, G1 1LH",
A24-105,Day Shift,,,Van 1,Present,7,1,,"Ireland Alloys, Craighead Works, Whistleberry Road, Hamilton, ML3 0HP",
A24-105,Night Shift,,,Van 2,Present,7,1,,"Ireland Alloys, Craighead Works, Whistleberry Road, Hamilton, ML3 0HP",
A24-109,Day Shift,,,Van 1,Present,5,0,,"Maritime House (ex Braid Logistics), 157 Woodville St, Glasgow G51 2RQ",
A24-109,Night Shift,,,Van 2,Present,6,0,,"Maritime House (ex Braid Logistics), 157 Woodville St, Glasgow G51 2RQ",
A24-110,Day Shift,,,No Keys Held,Present,0,0,,"Glasgow Brickyard, 512 Blochairn Rd, Glasgow G21 2DZ",
A24-110,Night Shift,,,No Keys Held,Present,0,0,,"Glasgow Brickyard, 512 Blochairn Rd, Glasgow G21 2DZ",
A24-111,Day Shift,,,No Keys Held,Present,0,0,,"Tarmac Uddingston, Greenelms Trading Est, Grays Road, Glasgow, G71 6ET",
A24-111,Night Shift,,,Van 2,Present,1,0,,"Tarmac Uddingston, Greenelms Trading Est, Grays Road, Glasgow, G71 6ET",
A24-117,Day Shift,,,Van 1,Present,2,0,,"R-Biopharm Rhône, Block 10 Todd Campus, West of Scotland Science Park, G20 0XA",
A24-117,Night Shift,,,Van 2,Present,2,0,,"R-Biopharm Rhône, Block 10 Todd Campus, West of Scotland Science Park, G20 0XA",
A24-118,Day Shift,,,Van 1,Present,1,2,,"Scottish Ballet, 25 Albert Drive, Glasgow, G41 2PE",
A24-118,Night Shift,,,Van 2,Present,1,2,,"Scottish Ballet, 25 Albert Drive, Glasgow, G41 2PE",
A24-119,Day Shift,,,No Keys Held,Present,0,0,,"Collagen Solutions, 3 Robroyston Oval, Pavilion 1, Robroyston, Glasgow G33 1AP",
A24-119,Night Shift,,,No Keys Held,Present,0,0,,"Collagen Solutions, 3 Robroyston Oval, Pavilion 1, Robroyston, Glasgow G33 1AP",
A24-120,Day Shift,,,No Keys Held,Present,0,0,,"5 Robroyston Oval Pavilion 2, Robroyston, Glasgow G33 1AP",
A24-120,Night Shift,,,No Keys Held,Present,0,0,,"5 Robroyston Oval Pavilion 2, Robroyston, Glasgow G33 1AP",
A24-121,Day Shift,,,No Keys Held,Present,0,0,,"7 Robroyston Oval, Orion House, Robroyston, Glasgow G33 1AP",
A24-121,Night Shift,,,No Keys Held,Present,0,0,,"7 Robroyston Oval, Orion House, Robroyston, Glasgow G33 1AP",
A24-123,Day Shift,,,Van 1,Present,4,2,,"Eastpark in Scotland, 1092 Maryhill Road, Glasgow, G20 9TD",
A24-123,Night Shift,,,Van 2,Present,5,2,,"Eastpark in Scotland, 1092 Maryhill Road, Glasgow, G20 9TD",
A24-124,Day Shift,,,Van 1,Present,2,0,,"Healthy & Happy, 18 Farmeloan Road, Rutherglen, G73 1DL",
A24-124,Night Shift,,,Van 2,Present,1,0,,"Healthy & Happy, 18 Farmeloan Road, Rutherglen, G73 1DL",
A24-126,Day Shift,,,Van 1,Present,5,1,,"The Beacon, 176 St Vincent Street, Glasgow, G2 5SG",
A24-126,Night Shift,,,Van 2,Present,5,1,,"The Beacon, 176 St Vincent Street, Glasgow, G2 5SG",
A24-127,Day Shift,,,Van 1,Present,1,0,,"Alan House, 25 Bothwell Street , Glasgow, G2 6NL",
A24-127,Night Shift,,,Van 2,Present,2,1,,"Alan House, 25 Bothwell Street , Glasgow, G2 6NL",
A24-128,Day Shift,,,Van 1,Present,0,1,,"145 St Vincent St, Glasgow G2 5JF",
A24-128,Night Shift,,,Van 2,Present,1,1,,"145 St Vincent St, Glasgow G2 5JF",
A24-129,Day Shift,,,No Keys Held,Present,0,0,,"Festival House, 177 West George St, Glasgow G2 2LB",
A24-129,Night Shift,,,No Keys Held,Present,0,0,,"Festival House, 177 West George St, Glasgow G2 2LB",
A24-130,Day Shift,,,Van 1,Present,1,0,,"The Gatehouse, 201 West George St, Glasgow, G2 2LW",
A24-130,Night Shift,,,Van 2,Present,2,1,,"The Gatehouse, 201 West George St, Glasgow, G2 2LW",
A24-132,Day Shift,,,Van 1,Present,3,1,,"The Mortgage Lender, 50 Waterloo Street, Glasgow G2 6HQ",
A24-132,Night Shift,,,Van 2,Present,3,2,,"The Mortgage Lender, 50 Waterloo Street, Glasgow G2 6HQ",
A24-134,Day Shift,,,No Keys Held,Present,0,0,,Routes To Work South (Pest Control Contract),
A24-134,Night Shift,,,No Keys Held,Present,0,0,,Routes To Work South (Pest Control Contract),
A24-135,Day Shift,,,Van 1,Present,0,3,,"Flemington House, 110 Flemington Street, Springburn, Glasgow G21 4TD",
A24-135,Night Shift,,,Van 2,Present,1,2,,"Flemington House, 110 Flemington Street, Springburn, Glasgow G21 4TD",
A24-138,Day Shift,,,Van 1,Present,1,1,,"100 Berkeley St, Glasgow, G3 7HU",
A24-138,Night Shift,,,Van 2,Present,1,1,,"100 Berkeley St, Glasgow, G3 7HU",
A24-140,Day Shift,,,Van 1,Present,2,1,,"Maryhill Housing Association, 45 Garrioch Road, Glasgow, G20 8RG",
A24-140,Night Shift,,,Van 2,Present,3,1,,"Maryhill Housing Association, 45 Garrioch Road, Glasgow, G20 8RG",
A24-141,Day Shift,,,Van 1,Present,1,1,,"23 Nelson Mandela Place, Glasgow, G2 1QY",
A24-141,Night Shift,,,No Keys Held,Present,0,0,,"23 Nelson Mandela Place, Glasgow, G2 1QY",
A24-142,Day Shift,,,No Keys Held,Present,0,0,,"4 Glassford Street, Glasgow, G1 5RY",
A24-142,Night Shift,,,No Keys Held,Present,0,0,,"4 Glassford Street, Glasgow, G1 5RY",
A24-143,Day Shift,,,Van 1,Present,1,1,,"The Beresford Building, 460 Sauchiehall St, Glasgow G2 3JU",
A24-143,Night Shift,,,Van 2,Present,2,1,,"The Beresford Building, 460 Sauchiehall St, Glasgow G2 3JU",
A24-148,Day Shift,,,Van 1,Present,2,1,,"Mews Building, 19 Woodside Crescent, Glasgow, G3 7UL","(Annexe building in back carpark), Entrance through the gate from Woodside Terrace Lane, next to Scottish Motor Services, 43-49 Woodlands Rd, Kelvingrove, Glasgow G3 6ED  148)"
A24-148,Night Shift,,,Van 2,Present,3,0,,"Mews Building, 19 Woodside Crescent, Glasgow, G3 7UL","(Annexe building in back carpark), Entrance through the gate from Woodside Terrace Lane, next to Scottish Motor Services, 43-49 Woodlands Rd, Kelvingrove, Glasgow G3 6ED "
A24-151,Day Shift,,,Van 1,Present,1,1,,"Challenge House, 29 Canal St, Glasgow, G40AD",
A24-151,Night Shift,,,Van 2,Present,1,1,,"Challenge House, 29 Canal St, Glasgow, G40AD",
A24-153,Day Shift,,,Van 1,Present,4,0,,"The Pyramid At Anderston, 759 Argle Street, G3 8DS",
A24-153,Night Shift,,,Van 2,Present,4,0,,"The Pyramid At Anderston, 759 Argle Street, G3 8DS",
A24-158,Day Shift,,,Van 1,Present,1,2,,"Jewish Care Scotland, The Walton Community Care Centre, May Terrace, Glasgow G46 6LD",
A24-158,Night Shift,,,Van 2,Present,1,1,,"Jewish Care Scotland, The Walton Community Care Centre, May Terrace, Glasgow G46 6LD",
A24-158,Lock Up,,,Van 3,Present,1,2,,"Jewish Care Scotland, The Walton Community Care Centre, May Terrace, Glasgow G46 6LD",
A24-159,Day Shift,,,Van 1,Present,1,1,,"57 Glasgow Road, Blanefield, G63 9JD",
A24-159,Night Shift,,,Van 2,Present,1,0,,"57 Glasgow Road, Blanefield, G63 9JD",
A24-160,Day Shift,,,Van 1,Present,1,0,,"Cambridge House, 8 Cambridge Street, Glasgow, G2 3DZ",
A24-160,Night Shift,,,Van 2,Present,1,0,,"Cambridge House, 8 Cambridge Street, Glasgow, G2 3DZ",
A24-161,Day Shift,,,Van 1,Present,6,1,,"RSPB, Largs Road, Lochwinnoch, PA12 4JF",
A24-161,Night Shift,,,Van 2,Present,6,1,,"RSPB, Largs Road, Lochwinnoch, PA12 4JF",
A24-162,Day Shift,,,Van 1,Present,2,0,,"MCU Lesmahagow, Unit 1, Milton Industrial Estate, Teiglum Road, Lesmahagow, ML11 0JN",
A24-162,Night Shift,,,Van 2,Present,2,0,,"MCU Lesmahagow, Unit 1, Milton Industrial Estate, Teiglum Road, Lesmahagow, ML11 0JN",
A24-164,Day Shift,,,Van 1,Present,3,0,,"IODS Pipeclad, 2 Kelvin Park South, East Kilbride, Glasgow, G75 0RH",
A24-164,Night Shift,,,Van 2,Present,3,1,,"IODS Pipeclad, 2 Kelvin Park South, East Kilbride, Glasgow, G75 0RH",
A24-165,Day Shift,,,Van 1,Present,2,1,,"IODS Pipeclad, 6 Singer Rd, Kelvin Industrial Estate, East Kilbride, G75 0YN",
A24-165,Night Shift,,,Van 2,Present,2,2,,"IODS Pipeclad, 6 Singer Rd, Kelvin Industrial Estate, East Kilbride, G75 0YN",
A24-167,Day Shift,,,Van 1,Present,3,0,,Paisley Indoor Bowling Club 8-10 Wallneuk Road Paisley PA3 4BT,
A24-167,Night Shift,,,Van 2,Present,3,0,,Paisley Indoor Bowling Club 8-10 Wallneuk Road Paisley PA3 4BT,
A24-168,Day Shift,,,Van 1,Present,4,0,,"Cruiks Farm, Stepends Road, Lochwinnoch, PA12 4LA",
A24-168,Night Shift,,,Van 2,Present,4,0,,"Cruiks Farm, Stepends Road, Lochwinnoch, PA12 4LA",
A24-169,Day Shift,,,Van 1,Present,5,0,,"Mile End Mill, Abbey Mill Business Centre, 12 Seedhill Road, Paisley, PA1 1JS",
A24-169,Night Shift,,,Van 2,Present,5,1,,"Mile End Mill, Abbey Mill Business Centre, 12 Seedhill Road, Paisley, PA1 1JS",
A24-170,Day Shift,,,Van 1,Present,2,1,,"Sir James Clark Building, Abbey Mill Business Centre, Paisley, PA1 1TJ",
A24-170,Night Shift,,,Van 2,Present,2,1,,"Sir James Clark Building, Abbey Mill Business Centre, Paisley, PA1 1TJ",
A24-171,Day Shift,,,Van 1,Present,1,1,,"Old Embroidery Mill, Seedhill Road, Paisley PA1 1TJ",
A24-171,Night Shift,,,Van 2,Present,1,1,,"Old Embroidery Mill, Seedhill Road, Paisley PA1 1TJ",
A24-172,Day Shift,,,Van 1,Present,2,1,,"Anchor One, 1st Floor, 7 Thread Street, Paisley PA1 1JR",
A24-172,Night Shift,,,Van 2,Present,2,1,,"Anchor One, 1st Floor, 7 Thread Street, Paisley PA1 1JR",
A24-173,Day Shift,,,Van 1,Present,3,0,,"With Kids (Big Issue Foundation) 15 Annfield Place, Glasgow, G31 2XE",
A24-173,Night Shift,,,Van 2,Present,3,0,,"With Kids (Big Issue Foundation) 15 Annfield Place, Glasgow, G31 2XE",
A24-174,Day Shift,,,Van 1,Present,3,0,,"Agile Solutions, 190 West George Street, Glasgow, G2 2NR",
A24-174,Night Shift,,,Van 2,Present,3,1,,"Agile Solutions, 190 West George Street, Glasgow, G2 2NR",
A24-175,Day Shift,,,Van 1,Present,2,0,,"Aalco Metals Limited, 117 Clydesmill Place, Cambuslang, Glasgow, G32 8RF",
A24-175,Night Shift,,,Van 2,Present,2,0,,"Aalco Metals Limited, 117 Clydesmill Place, Cambuslang, Glasgow, G32 8RF",
A24-176,Lock Up,,,Van 3,Present,3,2,,"Hillhead Sports Club, 32 Hughenden Rd, Glasgow, G12 9XP ",
A24-176,Night Shift,,,Van 2,Present,2,1,,"Hillhead Sports Club, 32 Hughenden Rd, Glasgow, G12 9XP ",
A24-177,Day Shift,,,No Keys Held,Present,0,0,,"Scotia House, 1st Floor, Castle Business Park, Stirling, FK9 4TZ",
A24-177,Night Shift,,,No Keys Held,Present,0,0,,"Scotia House, 1st Floor, Castle Business Park, Stirling, FK9 4TZ ",
A24-178,Day Shift,,,Van 1,Present,2,1,,"Cassiltoun Housing Association, Castlemilk Stables, 59 Machrie Rd, Glasgow, G45 0AZ ",
A24-178,Night Shift,,,Van 2,Present,2,1,,"Cassiltoun Housing Association, Castlemilk Stables, 59 Machrie Rd, Glasgow, G45 0AZ",
A24-178-1,Day Shift,,,Van 1,Present,4,2,,"Cassiltoun Creche, Castlemilk Stables, 59 Machrie Rd, Glasgow, G45 0AZ ",
A24-178-1,Night Shift,,,Van 2,Present,4,2,,"Cassiltoun Creche, Castlemilk Stables, 59 Machrie Rd, Glasgow, G45 0AZ",
A24-179,Day Shift,,,Van 1,Present,1,0,,"Epilepsy Scotland, 48 Govan Rd, Glasgow, G51 1JL",
A24-179,Night Shift,,,Van 2,Present,2,1,,"Epilepsy Scotland, 48 Govan Rd, Glasgow, G51 1JL",
A24-180,Day Shift,,,Van 1,Present,2,1,,"Linstone Housing Association, 17 Bridge St, Linwood, Paisley PA3 3DB",
A24-180,Night Shift,,,Van 2,Present,2,1,,"Linstone Housing Association, 17 Bridge St, Linwood, Paisley PA3 3DB ",
A24-181,Day Shift,,,Van 1,Present,2,0,,"Barnshaws Steel Bending Ltd, 89 Bothwell Rd, Hamilton, ML3 0DW",
A24-181,Night Shift,,,Van 2,Present,2,0,,"Barnshaws Steel Bending Ltd, 89 Bothwell Rd, Hamilton, ML3 0DW",
A24-182,Day Shift,,,Van 1,Present,1,1,,"Fleming Pavilion, Todd Campus, Acre Rd, Glasgow, G20 0XA ",
A24-182,Night Shift,,,Van 2,Present,1,1,,"Fleming Pavilion, Todd Campus, Acre Rd, Glasgow, G20 0XA ",
A24-182,Lock Up,,,Van 3,Present,1,2,,"Fleming Pavilion, Todd Campus, Acre Rd, Glasgow, G20 0XA ",
A24-183,Day Shift,,,Van 1,Present,2,2,,"Toyota Material Handling, Glasgow, G69 6GE ",
A24-183,Night Shift,,,Van 2,Present,2,2,,"Toyota Material Handling, Glasgow, G69 6GE",
A24-184,Day Shift,,,No Keys Held,Present,0,0,,"61 Bath St, Glasgow, G2 2DG",
A24-184,Night Shift,,,No Keys Held,Present,0,0,,"61 Bath St, Glasgow, G2 2DG ",
A24-185,Day Shift,,,No Keys Held,Present,0,0,,"176 Hope St, Glasgow, G2 2TU ",
A24-185,Night Shift,,,No Keys Held,Present,0,0,,"176 Hope St, Glasgow, G2 2TU ",
A24-186,Day Shift,,,Van 1,Present,3,0,,"Flat 2, 3 Sydenham Road, Dowanhill, Glasgow, G12 9NT ",
A24-186,Night Shift,,,Van 2,Present,3,0,,"Flat 2, 3 Sydenham Road, Dowanhill, Glasgow, G12 9NT ",
A24-188,Day Shift,,,Van 1,Present,2,0,,"Glasgow Local Medical Committee, 40 New City Road, Glasgow, G4 9JT ",
A24-188,Night Shift,,,Van 2,Present,2,1,,"Glasgow Local Medical Committee, 40 New City Road, Glasgow, G4 9JT ",
A24-189,Day Shift,,,Van 1,Present,2,0,,"Bibby Financial Services, 1/1, 142 St. Vincent Street, Glasgow, G2 5LA ",
A24-190,Day Shift,,,Van 1,Present,8,1,,"Belmar Court, Linwood, Paisley PA3 3EE ",
A24-190,Night Shift,,,Van 2,Present,7,1,,"Belmar Court, Linwood, Paisley PA3 3EE ",
A24-191,Day Shift,,,Van 1,Present,6,1,,"Asbury Court, Linwood, Paisley PA3 3EG ",
A24-191,Night Shift,,,Van 2,Present,6,1,,"Asbury Court, Linwood, Paisley PA3 3EG ",
A24-19-1,Day Shift,,,No Keys Held,Present,0,0,,"89 Main Street, Baillieston, Glasgow, G69 6AB ",Keybox on site
A24-19-1,Night Shift,,,No Keys Held,Present,0,0,,"89 Main Street, Baillieston, Glasgow, G69 6AB ",Keybox on site
A24-19-10,Day Shift,,,No Keys Held,Present,0,0,,"160 Charles St, Glasgow, G21 2QQ ",Keybox on site
A24-19-10,Night Shift,,,No Keys Held,Present,0,0,,"160 Charles St, Glasgow, G21 2QQ ",Keybox on site
A24-19-100,Day Shift,,,No Keys Held,Present,0,0,,"22 Ryewraes Road, Linwood, PA3 3BF ",Keybox on site
A24-19-100,Night Shift,,,No Keys Held,Present,0,0,,"22 Ryewraes Road, Linwood, PA3 3BF ",Keybox on site
A24-19-101,Day Shift,,,No Keys Held,Present,0,0,,"22A Mill Road, Hamilton, ML3 8AA ",Keybox on site
A24-19-101,Night Shift,,,No Keys Held,Present,0,0,,"22A Mill Road, Hamilton, ML3 8AA ",Keybox on site
A24-19-102,Day Shift,,,No Keys Held,Present,0,0,,"3 Quarrywood Avenue, Glasgow, G21 3BA ",Keybox on site
A24-19-102,Night Shift,,,No Keys Held,Present,0,0,,"3 Quarrywood Avenue, Glasgow, G21 3BA ",Keybox on site
A24-19-103,Day Shift,,,No Keys Held,Present,0,0,,"70 Oxford Street, Glasgow, G5 9EP  ",Keybox on site
A24-19-103,Night Shift,,,No Keys Held,Present,0,0,,"70 Oxford Street, Glasgow, G5 9EP  ",Keybox on site
A24-19-104,Day Shift,,,No Keys Held,Present,0,0,,"25 High Calside, Paisley PA2 6BY ",Keybox on site
A24-19-104,Night Shift,,,No Keys Held,Present,0,0,,"25 High Calside, Paisley PA2 6BY ",Keybox on site
A24-19-105,Day Shift,,,No Keys Held,Present,0,0,,"1-28 St Patricks Court, Coatbridge, ML5 3AY ",Keybox on site
A24-19-105,Night Shift,,,No Keys Held,Present,0,0,,"1-28 St Patricks Court, Coatbridge, ML5 3AY ",Keybox on site
A24-19-106,Day Shift,,,No Keys Held,Present,0,0,,"578 Mosspark Boulevard, Glasgow, G52 1TA ",Keybox on site
